Date,T_out,mo 
1/1/2000,-0.6,1
1/1/2000,-1.1,1
1/1/2000,0,1
1/1/2000,-1.7,1
1/1/2000,-1.1,1
1/1/2000,-1.7,1
1/1/2000,-0.6,1
1/1/2000,-1.7,1
1/1/2000,-1.1,1
1/1/2000,2.8,1
1/1/2000,6.1,1
1/1/2000,10,1
1/1/2000,11.7,1
1/1/2000,12.2,1
1/1/2000,13.3,1
1/1/2000,12.2,1
1/1/2000,11.1,1
1/1/2000,9.4,1
1/1/2000,10,1
1/1/2000,8.9,1
1/1/2000,7.8,1
1/1/2000,8.3,1
1/1/2000,8.3,1
1/1/2000,9.4,1
1/2/2000,9.4,1
1/2/2000,11.1,1
1/2/2000,11.7,1
1/2/2000,11.1,1
1/2/2000,11.7,1
1/2/2000,11.7,1
1/2/2000,11.7,1
1/2/2000,12.2,1
1/2/2000,12.2,1
1/2/2000,13.3,1
1/2/2000,13.9,1
1/2/2000,13.9,1
1/2/2000,14.4,1
1/2/2000,14,1
1/2/2000,15.6,1
1/2/2000,16.1,1
1/2/2000,15.6,1
1/2/2000,15.6,1
1/2/2000,15.6,1
1/2/2000,13.9,1
1/2/2000,10,1
1/2/2000,7.2,1
1/2/2000,4.4,1
1/2/2000,4.4,1
1/3/2000,4.4,1
1/3/2000,4.4,1
1/3/2000,4.4,1
1/3/2000,3.9,1
1/3/2000,3.9,1
1/3/2000,3.9,1
1/3/2000,3.9,1
1/3/2000,3.9,1
1/3/2000,3.9,1
1/3/2000,4.4,1
1/3/2000,4,1
1/3/2000,5,1
1/3/2000,4.4,1
1/3/2000,6.1,1
1/3/2000,8,1
1/3/2000,9.4,1
1/3/2000,10,1
1/3/2000,10,1
1/3/2000,10,1
1/3/2000,9.4,1
1/3/2000,7.2,1
1/3/2000,6.7,1
1/3/2000,6.7,1
1/3/2000,8.9,1
1/4/2000,5,1
1/4/2000,4.4,1
1/4/2000,1.7,1
1/4/2000,0.6,1
1/4/2000,0,1
1/4/2000,0,1
